Don't Start Now;Dua Lipa
Preach;Drake Featuring PARTYNEXTDOOR
Legend;Drake
10 Bands;Drake
Used To;Drake Featuring Lil Wayne
Where You Belong;The Weeknd
Honey, I'm Good.;Andy Grammer
I Put A Spell On You;Annie Lennox
Keep Your Money;Empire Cast Featuring Jussie Smollett
What Kind Of Man;Florence + The Machine
Blessings;Big Sean Featuring Drake
Lay Me Down;Sam Smith
A Little Too Much;Shawn Mendes
Hotel;Kid Ink Featuring Chris Brown
Out The Speakers;A-Trak + Milo & Otis Featuring Rich Kidz
Girl Crush;Little Big Town
Shots;Imagine Dragons
Budapest;George Ezra
Chains;Nick Jonas
Talking Body;Tove Lo
I Bet;Ciara
FourFiveSeconds;Rihanna & Kanye West & Paul McCartney
Truffle Butter;Nicki Minaj Featuring Drake & Lil Wayne
Worth It;Fifth Harmony Featuring Kid Ink
Trap Queen;Fetty Wap
Somebody;Natalie La Rose Featuring Jeremih
Immortals;Fall Out Boy
Slow Motion;Trey Songz
Sugar;Maroon 5
Heartbeat Song;Kelly Clarkson
Homegrown;Zac Brown Band
Uma Thurman;Fall Out Boy
Glory;Common & John Legend
Say You Do;Dierks Bentley
The Body;Wale Featuring Jeremih
Elastic Heart;Sia
Ayo;Chris Brown & Tyga
Love Me Like You Do;Ellie Goulding
Irresistible;Fall Out Boy
Best Friends;Sophia Grace
Blank Space;I Prevail
Not For Long;B.o.B Featuring Trey Songz
Post To Be;Omarion Featuring Chris Brown & Jhene Aiko
All About It;Hoodie Allen Featuring Ed Sheeran
Only One;Kanye West Featuring Paul McCartney
Throw Sum Mo;Rae Sremmurd Featuring Nicki Minaj & Young Thug
Take Your Time;Sam Hunt
What We Ain't Got;Jake Owen
A Guy Walks Into A Bar;Tyler Farr
Take It On Back;Chase Bryant
Ain't Worth The Whiskey;Cole Swindell
I Mean It;G-Eazy Featuring Remo
Earned It (Fifty Shades Of Grey);The Weeknd
Stuck On A Feeling;Prince Royce Featuring Snoop Dogg
Bad B*tch;French Montana Featuring Jeremih
Can't Stop Dancin';Becky G
Title;Meghan Trainor
Wasted Love;Matt McAndrew
My Baby's Got A Smile On Her Face;Craig Wayne Boyd
Feeling Myself;Nicki Minaj Featuring Beyonce
Velvet;Chris Jamison
Lost Without U;Chris Jamison & Adam Levine
Masterpiece;Jessie J
Soldier;Damien
Lost Stars;Matt McAndrew & Adam Levine
Get On Your Knees;Nicki Minaj Featuring Ariana Grande
Apparently;J. Cole
Lonely Eyes;Chris Young
The Old Rugged Cross;Craig Wayne Boyd
Wet Dreamz;J. Cole
Make It Rain;Matt McAndrew
Have Yourself A Merry Little Christmas;Sam Smith
Come Join The Murder;The White Buffalo & The Forest Rangers
No Role Modelz;J. Cole
When I Was Your Man;Chris Jamison
Break The Rules;Charli XCX
Make It Rain;Ed Sheeran
The Blower's Daughter;Matt McAndrew
Prayer In C;Lillywood & Robin Schulz
Geronimo;Sheppard
Lonely Tonight;Blake Shelton Featuring Ashley Monroe
Like A Cowboy;Randy Houser
Royals;Taylor John Williams
The Hanging Tree;James Newton Howard Featuring Jennifer Lawrence
7/11;Beyonce
Santa Tell Me;Ariana Grande
I Lived;OneRepublic
I Walk The Line;Craig Wayne Boyd
I See You;Luke Bryan
Sledgehammer;Fifth Harmony
Time Of Our Lives;Pitbull & Ne-Yo
Mary, Did You Know?;Pentatonix
Night Changes;One Direction
Do They Know It's Christmas? (2014);Band Aid 30
Bed Of Lies;Nicki Minaj Featuring Skylar Grey
CoCo;O.T. Genasis
Baby It's Cold Outside;Idina Menzel Duet With Michael Buble
Take Me To Church;Matt McAndrew
I Don't Mind;Usher Featuring Juicy J
Stockholm Syndrome;One Direction
Uptown Funk!;Mark Ronson Featuring Bruno Mars
18;One Direction
Where Do Broken Hearts Go;One Direction
Make Me Wanna;Thomas Rhett
She Knows;Ne-Yo Featuring Juicy J
The Heart Wants What It Wants;Selena Gomez
Ready To Run;One Direction
Something Big;Shawn Mendes
Mean To Me;Brett Eldredge
Homegrown Honey;Darius Rucker
Shut Up And Dance;WALK THE MOON
Blank Space;Taylor Swift
I Bet My Life;Imagine Dragons
Only;Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown
Style;Taylor Swift
I Won't Let You Down;OK Go
Ghost;Ella Henderson
Wildest Dreams;Taylor Swift
Bad Blood;Taylor Swift Featuring Kendrick Lamar
Til It's Gone;Kenny Chesney
Baby Don't Lie;Gwen Stefani
Welcome To New York;Taylor Swift
Try Me;DeJ Loaf
Outside;Calvin Harris Featuring Ellie Goulding
G.D.F.R.;Flo Rida Featuring Sage The Gemini & Lookas
Talladega;Eric Church
Beg For It;Iggy Azalea Featuring M0
Lips Are Movin;Meghan Trainor
Dangerous;David Guetta Featuring Sam Martin
Made Me;Snootie Wild Featuring K Camp
God Made Girls;RaeLynn
Out Of The Woods;Taylor Swift
In Your Arms;Nico & Vinz
Burnin' Up;Jessie J Featuring 2 Chainz
I'm Not Gonna Miss You;Glen Campbell
Bobby Bitch;Bobby Shmurda
Often;The Weeknd
Drinking Class;Lee Brice
EW!;Jimmy Fallon Featuring will.i.am
Sippin' On Fire;Florida Georgia Line
Thinking Out Loud;Ed Sheeran
The Days;Avicii
Love Me Harder;Ariana Grande & The Weeknd
Perfect Storm;Brad Paisley
L.A.LOVE (la la);Fergie
Errrbody;Yo Gotti
Body Language;Kid Ink Featuring Usher & Tinashe
Steal My Girl;One Direction
Something In The Water;Carrie Underwood
Just Gettin' Started;Jason Aldean
Bumpin' The Night;Florida Georgia Line
Yellow Flicker Beat;Lorde
Heroes (We Could Be);Alesso Featuring Tove Lo
U Guessed It;OG Maco Featuring 2 Chainz
Shotgun Rider;Tim McGraw
i;Kendrick Lamar
Tonight Looks Good On You;Jason Aldean
I Don't F**k With You;Big Sean Featuring E-40
Anything Goes;Florida Georgia Line
No Type;Rae Sremmurd
Tuesday;I LOVE MAKONNEN Featuring Drake
Handsome And Wealthy;Migos
Feelin' It;Scotty McCreery
Close Your Eyes;Parmalee
Left Hand Free;alt-J
Booty;Jennifer Lopez Featuring Iggy Azalea Or Pitbull
Gonna Know We Were Here;Jason Aldean
No Love;August Alsina
Sun Daze;Florida Georgia Line
Superheroes;The Script
X;Chris Brown
You And Your Friends;Wiz Khalifa Featuring Snoop Dogg & Ty Dolla $ign
Centuries;Fall Out Boy
Blame;Calvin Harris Featuring John Newman
Two Night Town;Jason Aldean
Jealous;Nick Jonas
Angel In Blue Jeans;Train
Bend Ova;Lil Jon Featuring Tyga
Dear Future Husband;Meghan Trainor
Sweet Little Somethin';Jason Aldean
Seen It All;Jeezy Featuring Jay Z
Secrets;Mary Lambert
Touchin, Lovin;Trey Songz Featuring Nicki Minaj
Hold You Down;DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih
Look At You;Big & Rich
Guts Over Fear;Eminem Featuring Sia
***Flawless;Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie
She Came To Give It To You;Usher Featuring Nicki Minaj
Somewhere In My Car;Keith Urban
24 Hours;TeeFLii Featuring 2 Chainz
Shake It Off;Taylor Swift
Neon Light;Blake Shelton
Animals;Maroon 5
Waves;Mr. Probz
Delirious (Boneless);Steve Aoki, Chris Lake & Tujamo Featuring Kid Ink
Walk Thru;Rich Homie Quan Featuring Problem
Best Mistake;Ariana Grande Featuring Big Sean
Shell Shocked;Juicy J, Wiz Khalifa & Ty Dolla $ign Featuring Kill The Noise & Madsonik
Hookah;Tyga Featuring Young Thug
Take Me To Church;Hozier
Later On;The Swon Brothers
Anaconda;Nicki Minaj
Wild Life;Jack & Jack
Fireball;Pitbull Featuring John Ryan
Cold One;Eric Church
About The Money;T.I. Featuring Young Thug
Bang Bang;Jessie J, Ariana Grande & Nicki Minaj
It Was Always You;Maroon 5
Girl In A Country Song;Maddie & Tae
Chasing The Sun;Hilary Duff
This Is How We Do;Katy Perry
Hot Boy;Bobby Shmurda
No Flex Zone;Rae Sremmurd
I Will Never Let You Down;Rita Ora
Burnin' It Down;Jason Aldean
0 To 100 / The Catch Up;Drake
Happy Little Pill;Troye Sivan
Stolen Dance;Milky Chance
Everything I Didn't Say;5 Seconds Of Summer
Word Crimes;"Weird Al" Yankovic
Roller Coaster;Luke Bryan
Lifestyle;Rich Gang Featuring Young Thug & Rich Homie Quan
Hideaway;Kiesza
Dirt;Florida Georgia Line
Bo$$;Fifth Harmony
You & I (Nobody In The World);John Legend
Try;Colbie Caillat
All About That Bass;Meghan Trainor
Cool Kids;Echosmith
Fight Night;Migos
Dust;Eli Young Band
Sunshine & Whiskey;Frankie Ballard
Break Free;Ariana Grande Featuring Zedd
Amnesia;5 Seconds Of Summer
Foreign;Trey Songz
New Flame;Chris Brown Featuring Usher & Rick Ross
Calm Down;Busta Rhymes Featuring Eminem
Black Widow;Iggy Azalea Featuring Rita Ora
Ten Feet Tall;Afrojack Featuring Wrabel
Life Of The Party;Shawn Mendes
Get Her Back;Robin Thicke
Don't Tell 'Em;Jeremih Featuring YG
Riptide;Vance Joy
Leave The Night On;Sam Hunt
She Twerkin;Ca$h Out
Maps;Maroon 5
Kiss Me Kiss Me;5 Seconds Of Summer
Afire Love;Ed Sheeran
No Mediocre;T.I. Featuring Iggy Azalea
American Kids;Kenny Chesney
First Love;Jennifer Lopez
Hangover;PSY Featuring Snoop Dogg
Don't;Ed Sheeran
Small Town Throwdown;Brantley Gilbert Featuring Justin Moore & Thomas Rhett
Rather Be;Clean Bandit Featuring Jess Glynne
Hope You Get Lonely Tonight;Cole Swindell
Jungle;Jamie N Commons & X Ambassadors
Boom Clap;Charli XCX
I'm Not The Only One;Sam Smith
Ultraviolence;Lana Del Rey
Day Drinking;Little Big Town
Shower;Becky G
Studio;ScHoolboy Q Featuring BJ The Chicago Kid
Wasted;Tiesto Featuring Matthew Koma
Song About A Girl;Eric Paslay
I'm Ready;AJR
Good Girls;5 Seconds Of Summer
Believe Me;Lil Wayne Featuring Drake
Habits (Stay High);Tove Lo
Shades Of Cool;Lana Del Rey
Trumpets;Jason Derulo
XO;John Mayer
I Got A Car;George Strait
Meanwhile Back At Mama's;Tim McGraw Featuring Faith Hill
Somethin' Bad;Miranda Lambert Duet With Carrie Underwood
Slave To The Rhythm;Michael Jackson
Pills N Potions;Nicki Minaj
Somebody That I Used To Know;Christina Grimmie & Adam Levine
Can't Help Falling In Love;Christina Grimmie
Bartender;Lady Antebellum
Leave Your Lover;Sam Smith
Dare (La La La);Shakira
Don't Stop;5 Seconds Of Summer
One;Ed Sheeran
Drunk On A Plane;Dierks Bentley
Main Chick;Kid Ink Featuring Chris Brown
Chainsaw;The Band Perry
Heaven;Jake Worthington
Good Kisser;Usher
I Can't Make You Love Me;Josh Kaufman
Chandelier;Sia
How To Love;Christina Grimmie
I Choose You;Sara Bareilles
Come Get It Bae;Pharrell Williams
River Bank;Brad Paisley
2 On;Tinashe Featuring ScHoolboy Q
17 Again;Brantley Gilbert
Problem;Ariana Grande Featuring Iggy Azalea
Love Never Felt So Good;Michael Jackson & Justin Timberlake
A Sky Full Of Stars;Coldplay
Wiggle;Jason Derulo Featuring Snoop Dogg
Hold On, We're Going Home;Christina Grimmie
Bailando;Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
My Baby's Guns N' Roses;Brantley Gilbert
Work;Iggy Azalea
My Eyes;Blake Shelton Featuring Gwen Sebastian
Keep Them Kisses Comin';Craig Campbell
The Big Bang;Katy Tiz
Hello Kitty;Avril Lavigne
Stay With Me;Josh Kaufman
Who I Am With You;Chris Young
We Are Tonight;Billy Currington
Rude;MAGIC!
Yeah;Joe Nichols
Wake Up Lovin' You;Craig Morgan
I Won;Future Featuring Kanye West
West Coast;Lana Del Rey
You & I;One Direction
Love Runs Out;OneRepublic
Midnight;Coldplay
I Don't Dance;Lee Brice
Am I Wrong;Nico & Vinz
We Dem Boyz;Wiz Khalifa
Where It's At (Yep, Yep);Dustin Lynch
Sing;Ed Sheeran
We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song];Pitbull Featuring Jennifer Lopez & Claudia Leitte
Cut Her Off;KCamp Featuring 2 Chainz
Birthday;Katy Perry
Bad Blood;Bastille
Feelin' Myself;will.i.am Featuring Miley Cyrus, French Montana, Wiz Khalifa & DJ Mustard
Girls Chase Boys;Ingrid Michaelson
She Looks So Perfect;5 Seconds Of Summer
Stay With Me;Sam Smith
Come With Me Now;KONGOS
Empire;Shakira
G.U.Y.;Lady Gaga
Fever;The Black Keys
Me And My Broken Heart;Rixton
John Doe;B.o.B Featuring Priscilla
Beachin';Jake Owen
Whiskey In My Water;Tyler Farr
Summer;Calvin Harris
Lookin' For That Girl;Tim McGraw
Beating Heart;Ellie Goulding
We Might Be Dead By Tomorrow;Soko
Love Is An Open Door;Kristen Bell & Santino Fontana
Who Do You Love?;YG Featuring Drake
Play It Again;Luke Bryan
Headlights;Eminem Featuring Nate Ruess
Slow Me Down;Sara Evans
Or Nah;Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Red Lights;Tiesto
I Luh Ya Papi;Jennifer Lopez Featuring French Montana
Move That Doh;Future Featuring Pharrell, Pusha T & Casino
Latch;Disclosure Featuring Sam Smith
Magic;Coldplay
Raging Fire;Phillip Phillips
Trophies;Young Money Featuring Drake
Sanctified;Rick Ross Featuring Kanye West & Big Sean
The Devil Is A Lie;Rick Ross Featuring Jay-Z
Fancy;Iggy Azalea Featuring Charli XCX
Adrenalina;Wisin Featuring Jennifer Lopez & Ricky Martin
#SELFIE;The Chainsmokers
Not A Bad Thing;Justin Timberlake
Wild Wild Love;Pitbull Featuring G.R.L.
The Walker;Fitz And The Tantrums
Ain't It Fun;Paramore
Sleeping With A Friend;Neon Trees
Glory And Gore;Lorde
La La La;Naughty Boy Featuring Sam Smith
Ordinary Love;U2
Lettin' The Night Roll;Justin Moore
Everything Is AWESOME!!!;Tegan And Sara Featuring The Lonely Island
Automatic;Miranda Lambert
Stoner;Young Thug
Achy Breaky 2;Buck 22 Featuring Billy Ray Cyrus
You're Mine (Eternal);Mariah Carey
Classic;MKTO
Explosions;Ellie Goulding
The Worst;Jhene Aiko
Human;Christina Perri
Beat Of The Music;Brett Eldredge
Odio;Romeo Santos Featuring Drake
Follow Your Arrow;Kacey Musgraves
Cop Car;Keith Urban
A Man Who Was Gonna Die Young;Eric Church
Can't Raise A Man;K. Michelle
On Top Of The World;Imagine Dragons
Mmm Yeah;Austin Mahone Featuring Pitbull
Man Of The Year;ScHoolboy Q
El Perdedor;Enrique Iglesias Featuring Marco Antonio Solis
Invisible;Hunter Hayes
Na Na;Trey Songz
Chocolate;The 1975
They Don't Know;Rico Love
Can't Remember To Forget You;Shakira Featuring Rihanna
Loyal;Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
Rewind;Rascal Flatts
Doin' What She Likes;Blake Shelton
Thinking About You;Calvin Harris Featuring Ayah Marar
Take Me Home;Cash Cash Featuring Bebe Rexha
Everything I Shouldn't Be Thinking About;Thompson Square
Oceans (Where Feet May Fail);Hillsong UNITED
You Sound Good To Me;Lucy Hale
Partition;Beyonce
Goodnight Kiss;Randy Houser
Get Me Some Of That;Thomas Rhett
Give Me Back My Hometown;Eric Church
She Knows;J. Cole Featuring Amber Coffman & The Cults
How I Feel;Flo Rida
Ride;SoMo
Love Don't Die;The Fray
Drink To That All Night;Jerrod Niemann
Young Girls;Bruno Mars
19 You + Me;Dan + Shay
Happy;Pharrell Williams
Turn Down For What;DJ Snake & Lil Jon
Do You Want To Build A Snowman?;Kristen Bell, Agatha Lee Monn & Katie Lopez
For The First Time In Forever;Kristen Bell & Idina Menzel
Neon Lights;Demi Lovato
Drunk In Love;Beyonce Featuring Jay Z
I Have Nothing;Tessanne Chin
Bottoms Up;Brantley Gilbert
XO;Beyonce
Let It Be;Tessanne Chin & Adam Levine
Talk Dirty;Jason Derulo Featuring 2 Chainz
Paranoid;Ty Dolla $ign Featuring B.o.B
Mine;Beyonce Featuring Drake
I Hold On;Dierks Bentley
Confident;Justin Bieber Featuring Chance The Rapper
Saturday;Rebecca Black & Dave Days
Bridge Over Troubled Water;Tessanne Chin
Cannonball;Lea Michele
The Man;Aloe Blacc
Angel;Jacquie Lee
My Story;R. Kelly Featuring 2 Chainz
V. 3005;Childish Gambino
Little Drummer Boy;Pentatonix
Change Me;Justin Bieber
Hey Brother;Avicii
Who You Love;John Mayer Featuring Katy Perry
I. Crawl;Childish Gambino
Helluva Life;Frankie Ballard
Underneath The Tree;Kelly Clarkson
Old School Love;Lupe Fiasco Featuring Ed Sheeran
All The Way Home;Tamar Braxton
Do I Wanna Know?;Arctic Monkeys
Roller Coaster;Justin Bieber
Let It Go;Demi Lovato
This Is How We Roll;Florida Georgia Line Featuring Luke Bryan
At Last;Will Champlin
Let It Go;Idina Menzel
When She Says Baby;Jason Aldean
Heart Attack;Enrique Iglesias
Alone Together;Fall Out Boy
Diana;One Direction
Midnight Memories;One Direction
PYD;Justin Bieber Featuring R. Kelly
Bound 2;Kanye West
Love Me Again;John Newman
Strong;One Direction
Up Down (Do This All Day);T-Pain Featuring B.o.B
Last Christmas;Ariana Grande
Hallelujah;Matthew Schuler
All Bad;Justin Bieber
Best Day Of My Life;American Authors
Up All Night;Jon Pardi
Dope;Lady Gaga
Say Something;A Great Big World & Christina Aguilera
Bad Day;Justin Bieber
A Case Of You;James Wolpert
Perfume;Britney Spears
Drink A Beer;Luke Bryan
Compass;Lady Antebellum
Everybody's Got Somebody But Me;Hunter Hayes Featuring Jason Mraz
Beautiful Pain;Eminem Featuring Sia
The Monster;Eminem Featuring Rihanna
Story Of My Life;One Direction
Venus;Lady Gaga
Recovery;Justin Bieber
Do What U Want;Lady Gaga Featuring R. Kelly
Hold Tight;Justin Bieber
Unconditionally;Katy Perry
Sweeter Than Fiction;Taylor Swift
The Outsiders;Eric Church
Wait For A Minute;Tyga & Justin Bieber
Rough Water;Travie McCoy Featuring Jason Mraz
What Now;Rihanna
Rap God;Eminem
All That Matters;Justin Bieber
Chinese Food;Alison Gold
Let Me Go;Avril Lavigne Featuring Chad Kroeger
Stay;Florida Georgia Line
Closer;Tegan And Sara
Friday Night;Eric Paslay
Sweet Annie;Zac Brown Band
Radio;Darius Rucker
Don't Let Me Be Lonely;The Band Perry
Chillin' It;Cole Swindell
Collard Greens;ScHoolboy Q Featuring Kendrick Lamar
Survival;Eminem
Adore You;Miley Cyrus
Timber;Pitbull Featuring Ke$ha
Sirens;Pearl Jam
Make You Feel My Love;Glee Cast
Drive;Miley Cyrus
V.S.O.P.;K. Michelle
Days Of Gold;Jake Owen
Someone Else;Miley Cyrus
All Kinds Of Kinds;Miranda Lambert
Ready Set Roll;Chase Rice
Gone;Kanye West Featuring Cam'ron & Consequence
Walking On Air;Katy Perry
My Hitta;YG Featuring Jeezy & Rich Homie Quan
Tennis Court;Lorde
Marry Me;Jason Derulo
Heartbreaker;Justin Bieber
It Won't Stop;Sevyn Streeter Featuring Chris Brown
Whatever She's Got;David Nail
All Me;Drake Featuring 2 Chainz & Big Sean
The Language;Drake
Furthest Thing;Drake
Too Much;Drake
Pound Cake / Paris Morton Music 2;Drake Featuring JAY-Z
From Time;Drake Featuring Jhene Aiko
Own It;Drake
Tuscan Leather;Drake
Come Thru;Drake
Worst Behavior;Drake
Team;Lorde
Work B**ch!;Britney Spears
Dark Horse;Katy Perry Featuring Juicy J
Lolly;Maejor Ali Featuring Juicy J & Justin Bieber
TKO;Justin Timberlake
A Light That Never Comes;Linkin Park X Steve Aoki
Waiting For Superman;Daughtry
Monster;Imagine Dragons
Show Me;Kid Ink Featuring Chris Brown
You Make Me;Avicii
Animals;Martin Garrix
Best I Ever Had;Gavin DeGraw
Carolina;Parmalee
This Is What It Feels Like;Armin van Buuren Featuring Trevor Guthrie
White Walls;Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis
Stay The Night;Zedd Featuring Hayley Williams
23;Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J
Honest;Future
Propuesta Indecente;Romeo Santos
We Were Us;Keith Urban And Miranda Lambert
Wu-Tang Forever;Drake
I Do It;2 Chainz Featuring Drake & Lil Wayne
Outta My Head;Craig Campbell
Could It Be;Charlie Worsham
Reflektor;Arcade Fire
The Fox;Ylvis
Atlas;Coldplay
I Luv This Sh*t;August Alsina Featuring Trinidad James
Popular Song;MIKA Featuring Ariana Grande
All Of Me;John Legend
Versace;Migos
Act Right;Yo Gotti Featuring Jeezy & YG
Berzerk;Eminem
Oh Sweet Lorraine;Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh
Gorilla;Bruno Mars
Loco;Enrique Iglesias Featuring Romeo Santos
Rock N Roll;Avril Lavigne
Bounce It;Juicy J Featuring Wale & Trey Songz
Sunny And 75;Joe Nichols
Wrecking Ball;Miley Cyrus
Replay;Zendaya
Darte Un Beso;Prince Royce
Give It 2 U;Robin Thicke Featuring Kendrick Lamar
Almost Is Never Enough;Ariana Grande & Nathan Sykes
Helluva Night;Ludacris
American Girl;Bonnie McKee
Applause;Lady Gaga
That's My Kind Of Night;Luke Bryan
This Is Gospel;Panic! At The Disco
We Own The Night;The Wanted
Pompeii;Bastille
Your Side Of The Bed;Little Big Town
Bruises;Train Featuring Ashley Monroe
Hold On, We're Going Home;Drake Featuring Majid Jordan
Hopeless Wanderer;Mumford & Sons
Right There;Ariana Grande Featuring Big Sean
Roar;Katy Perry
Turn The Night Up;Enrique Iglesias
True Love;P!nk Featuring Lily Allen
Let Her Go;Passenger
Mine Would Be You;Blake Shelton
Best Song Ever;One Direction
Baby I;Ariana Grande
Burn;Ellie Goulding
Love More;Chris Brown Featuring Nicki Minaj
Gas Pedal;Sage The Gemini Featuring IamSu!
Cruisin' For A Bruisin';Ross Lynch, Grace Phipps And Jason Evigan
Vivir Mi Vida;Marc Anthony
When I See This Bar;Kenny Chesney
Chloe (You're The One I Want);Emblem3
Southern Girl;Tim McGraw
The Heart Of Dixie;Danielle Bradbery
Red Nose;Sage The Gemini
Miss Jackson;Panic! At The Disco Featuring Lolo
Made In The USA;Demi Lovato
Hail To The King;Avenged Sevenfold
Miss Movin' On;Fifth Harmony
Wildfire;John Mayer
Aw Naw;Chris Young
Type Of Way;Rich Homie Quan
Holy Grail;Jay Z Featuring Justin Timberlake
Tom Ford;JAY-Z
Take Back The Night;Justin Timberlake
F*ckwithmeyouknowigotit;Jay Z Featuring Rick Ross
Summertime Sadness;Lana Del Rey & Cedric Gervais
Part II (On The Run);Jay Z Featuring Beyonce
Oceans;Jay Z Featuring Frank Ocean
Don't Drop That Thun Thun!;The FiNATTiCZ
Picasso Baby;JAY-Z
Acapella;Karmin
Crown;JAY-Z
I'm Out;Ciara Featuring Nicki Minaj
Feds Watching;2 Chainz Featuring Pharrell
Without Me;Fantasia Featuring Kelly Rowland & Missy Elliott
LoveHate Thing;Wale Featuring Sam Dew
Royals;Lorde
Easy;Sheryl Crow
Live For The Night;Krewella
Drunk Last Night;Eli Young Band
Wake Me Up!;Avicii
Don't Think They Know;Chris Brown Featuring Aaliyah
Parking Lot Party;Lee Brice
Goodbye Town;Lady Antebellum
Beware;Big Sean Featuring Lil Wayne & Jhene Aiko
Counting Stars;OneRepublic
New Slaves;Kanye West
Black Skinhead;Kanye West
Crooked Smile;J. Cole Featuring TLC
Born To Fly;Danielle Bradbery
Paper Doll;John Mayer
Ooh La La;Britney Spears
Right Now;Rihanna Featuring David Guetta
Blood On The Leaves;Kanye West
Why;Michelle Chamuel
Ain't Worried About Nothin;French Montana
One;Usher & Michelle Chamuel
I Can't Tell You Why;The Swon Brothers
Danny's Song;The Swon Brothers
What About Love;Austin Mahone
Who I Am;Danielle Bradbery
I Got You;Jack Johnson
Round Here;Florida Georgia Line
Turn The Page;The Swon Brothers
Please Remember Me;Danielle Bradbery
Sad;Amber Carrington
It Goes Like This;Thomas Rhett
Bubble Butt;Major Lazer Featuring Bruno Mars, Tyga & Mystic
We Can't Stop;Miley Cyrus
Wasting All These Tears;Cassadee Pope
Slow Down;Selena Gomez
I Knew You Were Trouble;Michelle Chamuel
Sweater Weather;The Neighbourhood
Crazy Kids;Ke$ha Featuring will.i.am Or Juicy J
Grandpa (Tell Me 'Bout The Good Old Days);Danielle Bradbery
Redneck Crazy;Tyler Farr
Point At You;Justin Moore
Clouds;Zach Sobiech
Love Somebody;Maroon 5
We Own It (Fast & Furious);2 Chainz & Wiz Khalifa
HeadBand;B.o.B Featuring 2 Chainz
Play Hard;David Guetta Featuring Ne-Yo & Akon
Beneath Your Beautiful;Labrinth Featuring Emeli Sande
Heads Carolina, Tails California;Danielle Bradbery
Wit Me;T.I. Featuring Lil Wayne
Don't Ya;Brett Eldredge
Work;A$AP Ferg
Treasure;Bruno Mars
A Little Party Never Killed Nobody (All We Got);Fergie, Q-Tip & GoonRock
I Am Beautiful;Candice Glover
Little Bit Of Everything;Keith Urban
Really Don't Care;Demi Lovato Featuring Cher Lloyd
People Like Us;Kelly Clarkson
#Beautiful;Mariah Carey Featuring Miguel
Live It Up;Jennifer Lopez Featuring Pitbull
Can't Shake You;Gloriana
Tonight I'm Getting Over You;Carly Rae Jepsen Featuring Nicki Minaj
Runnin' Outta Moonlight;Randy Houser
Maybe It Was Memphis;Danielle Bradbery
All Over The Road;Easton Corbin
Tapout;Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj
Hey Girl;Billy Currington
See You Again;Carrie Underwood
Sexy People (The Fiat Song);Arianna Featuring Pitbull
Safe And Sound;Capital Cities
Body Party;Ciara
No New Friends (SFTB Remix);DJ Khaled Featuring Drake, Rick Ross & Lil Wayne
Brave;Sara Bareilles
Young And Beautiful;Lana Del Rey
Memories Back Then;Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens
Jump Right In;Zac Brown Band
Get Lucky;Daft Punk Featuring Pharrell Williams
Fall Down;will.i.am Featuring Miley Cyrus
The Other Side;Jason Derulo
I Need Your Love;Calvin Harris Featuring Ellie Goulding
How Many Drinks?;Miguel
Blurred Lines;Robin Thicke Featuring T.I. + Pharrell
Beat It;Sean Kingston Featuring Chris Brown & Wiz Khalifa
Gentleman;PSY
Crash My Party;Luke Bryan
I Want Crazy;Hunter Hayes
Come & Get It;Selena Gomez
I Hit It First;Ray J Featuring Bobby Brackins
Here's To Never Growing Up;Avril Lavigne
Accidental Racist;Brad Paisley Featuring LL Cool J
Still Into You;Paramore
Just Keep Breathing;WE the Kings
See You Tonight;Scotty McCreery
Ready;Fabolous Featuring Chris Brown
U.O.E.N.O.;Rocko Featuring Future & Rick Ross
Fine China;Chris Brown
Pom Poms;Jonas Brothers
High School;Nicki Minaj Featuring Lil Wayne
Wings;Little Mix
The Way;Ariana Grande Featuring Mac Miller
Boys 'round Here;Blake Shelton Featuring Pistol Annies & Friends
The Phoenix;Fall Out Boy
Lego House;Ed Sheeran
#thatPOWER;will.i.am Featuring Justin Bieber
Pusher Love Girl;Justin Timberlake
Molly;Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall
Rich As F**k;Lil Wayne Featuring 2 Chainz
Wop;J. Dash
Clarity;Zedd Featuring Foxes
Anywhere With You;Jake Owen
Hey Pretty Girl;Kip Moore
Freaks;French Montana Featuring Nicki Minaj
DONE.;The Band Perry
So Many Girls;DJ Drama Featuring Wale, Tyga & Roscoe Dash
1994;Jason Aldean
Buzzkill;Luke Bryan
Kisses Down Low;Kelly Rowland
Beat This Summer;Brad Paisley
Show Out;Juicy J Featuring Big Sean & Young Jeezy
Gone, Gone, Gone;Phillip Phillips
Heart Attack;Demi Lovato
Gold;Britt Nicole
It's A Beautiful Day;Michael Buble
More Than Miles;Brantley Gilbert
Levitate;Hadouken!
Hey Porsche;Nelly
